1331771227010,-0.00445,-0.01380,0.22540
1331771227046,-0.00731,-0.03784,0.47348
1331771227080,-0.00865,-0.02756,0.42749
1331771227116,-0.00397,-0.02410,0.28186
1331771227150,-0.00370,-0.00749,0.12685
1331771227187,0.00005,0.00019,-0.00250
1331771227244,-0.00654,-0.01692,0.23230
1331771227264,-0.00385,-0.02199,0.31350
1331771227289,-0.00620,-0.02669,0.34247
1331771227365,-0.00518,-0.01831,0.26864
1331771227366,-0.00298,-0.02627,0.38898
1331771227396,-0.00603,-0.03529,0.43343
1331771227431,-0.00738,-0.02547,0.37088
1331771227466,-0.00433,-0.01034,0.15727
1331771227501,-0.00322,-0.01635,0.22473
1331771227537,-0.00551,-0.01463,0.20094
1331771227595,-0.00540,-0.01643,0.22986
1331771227606,-0.00444,-0.01301,0.19122
1331771227707,-0.00445,-0.01268,0.19524
1331771227709,-0.01786,-0.03883,0.51715
1331771227742,-0.01766,-0.03898,0.51681
1331771227745,-0.02078,-0.03492,0.44906
1331771227782,-0.00816,-0.01585,0.24375
1331771227817,-0.01575,-0.02635,0.35926
1331771227852,-0.00860,-0.01358,0.18163
1331771227886,-0.00705,-0.01929,0.28149
1331771227923,-0.01161,-0.02286,0.31647
1331771227957,-0.00611,-0.01302,0.17775
1331771228009,-0.00593,-0.00910,0.13361
1331771228027,-0.00679,-0.01178,0.15186
1331771228086,-0.00673,-0.01218,0.16859
1331771228098,-0.00329,-0.00761,0.12537
1331771228133,-0.01325,-0.02956,0.36235
1331771228167,-0.00486,-0.00900,0.12117
1331771228202,-0.01284,-0.02993,0.35522
1331771228237,-0.00721,-0.01564,0.18221
1331771228290,-0.00562,-0.01071,0.13865
1331771228312,-0.01481,-0.03242,0.45229
1331771228340,-0.01052,-0.02185,0.28634
1331771228377,-0.00983,-0.03091,0.34552
1331771228413,-0.00693,-0.01312,0.18826
1331771228447,-0.01218,-0.02177,0.28298
1331771228483,-0.02585,-0.04341,0.50356
1331771228517,-0.01700,-0.03140,0.41398
1331771228553,-0.01787,-0.02281,0.30033
1331771228589,-0.00550,-0.00828,0.10672
1331771228939,-0.00513,-0.01139,0.16630
1331771228941,-0.01719,-0.03915,0.54000
1331771228944,-0.01235,-0.02368,0.31808
1331771228946,-0.01025,-0.02064,0.27367
1331771228948,-0.01444,-0.01949,0.25538
1331771228949,-0.00796,-0.01607,0.21033
1331771228950,-0.01536,-0.03827,0.48445
1331771228983,-0.00555,-0.00776,0.12355
1331771228985,-0.00963,-0.01673,0.22911
1331771229021,-0.01059,-0.01505,0.26639
1331771229023,-0.02059,-0.03260,0.43987
1331771229067,-0.00974,-0.01605,0.21461
1331771229075,-0.00771,-0.01296,0.18201
1331771229097,-0.00116,-0.00316,0.03699
1331771229115,-0.01000,-0.02204,0.27410
1331771229149,-0.01881,-0.03321,0.39034
1331771229184,-0.01748,-0.02167,0.29704
